Job Title,Company Name,Location,Salary Estimate,Job Description,Rating,Date Posted
Data Engineer,Gamma Group,"London, UK",$80K-$93K,"Join Gamma Group as a Data Engineer. Key skills required: Azure, Snowflake, Kubernetes, Statistics, Docker, Airflow, Tableau, Git.",3.2,2025-12-17
Product Analyst,Alpha Analytics,"Denver, CO",$90K-$124K,"Join Alpha Analytics as a Product Analyst. Key skills required: R, AWS, Google Cloud.",3.3,2024-12-23
Machine Learning Engineer,EduTech,"London, UK",$60K-$98K,"Join EduTech as a Machine Learning Engineer. Key skills required: Docker, Spark, AWS, Excel, Google Cloud.",3.5,2024-09-21
Marketing Analyst,Gamma Group,"Chicago, IL",$105K-$119K,"Gamma Group is hiring a Marketing Analyst. You should know Snowflake, R, Spark, Python, Machine Learning, Airflow.",3.2,2025-12-30
Machine Learning Engineer,RetailGiants,"Seattle, WA",$59K-$108K,"Exciting opportunity for a Machine Learning Engineer at RetailGiants. Must have experience in Power BI, Kubernetes, Spark.",3.5,2025-07-05
Junior Data Analyst,HealthCare Inc.,"Seattle, WA",$117K-$141K,"We are looking for a Junior Data Analyst to join our team. You will be working with Docker, Git, AWS, Looker, Python.",4.2,2024-02-23
Machine Learning Engineer,Delta Dynamics,"Atlanta, GA",$55K-$91K,"Exciting opportunity for a Machine Learning Engineer at Delta Dynamics. Must have experience in Tableau, Machine Learning, Azure, Kubernetes, Python.",4.6,2025-01-01
Machine Learning Engineer,EduTech,"San Francisco, CA",$87K-$122K,"Exciting opportunity for a Machine Learning Engineer at EduTech. Must have experience in R, Hadoop, Google Cloud, Snowflake, Statistics, Airflow.",3.4,2025-05-12
Junior Data Analyst,RetailGiants,"Toronto, ON",$65K-$104K,"RetailGiants is hiring a Junior Data Analyst. You should know R, Python, AWS, Looker, Power BI, Machine Learning, Statistics.",4.3,2024-08-07
Junior Data Analyst,Beta Data,"Berlin, DE",$90K-$137K,"Join Beta Data as a Junior Data Analyst. Key skills required: Tableau, Looker, SQL, Snowflake, AWS, Azure.",4.2,2025-10-31
Data Analyst,Gamma Group,"Toronto, ON",$76K-$125K,"Gamma Group is hiring a Data Analyst. You should know Spark, Statistics, Excel, R, Machine Learning, Azure, AWS.",4.3,2025-10-28
BI Developer,Delta Dynamics,"Boston, MA",$55K-$98K,"We are looking for a BI Developer to join our team. You will be working with Jira, Google Cloud, Kubernetes, Excel, AWS, Statistics, Spark.",3.5,2025-12-01
Data Scientist,Gamma Group,"New York, NY",$66K-$83K,"Seeking a talented Data Scientist. Proficiency in AWS, Power BI, Tableau, Excel, Docker is a must.",3.2,2025-06-28
